Category,System Name,State,Detail,Recommendation
Data Gap (new-state research),DART On Demand,IA,"Unverified/missing fields at add time (State expansion research 2026-07): launch_year — sources conflict (CCAM-TAC says Nov 2021; ridedart summary says Nov 2022), unresolved; funding — DART is generally publicly funded (federal/state/local) but no source ties specific funding sources to DART On Demand; fleet — described as 'smaller sized buses' but no vehicle count or model verified; hours — verified only for current Ankeny zone; fall-2026 zone hours not yet published",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Dial-A-Ride (ADA Paratransit),IA,"Unverified/missing fields at add time (State expansion research 2026-07): vendor (no scheduling/technology vendor identified); launch_year; fleet size/vehicle description; funding sources are inferred from CyRide's FTA/local model, not explicitly itemized for Dial-A-Ride",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),EASE (East Ames Service Extension),IA,"Unverified/missing fields at add time (State expansion research 2026-07): funding: 'Federal, State, Local' reflects CyRide's standard funding mix (FTA / Iowa DOT / City of Ames-ISU) but the specific funding sources for the EASE service were not separately confirmed; fleet: confirmed as 'small bus' but exact vehicle count / capacity not found; lat/lng: approximate East Ames zone centroid, not an official published coordinate; launch_year: Pingo platform launched Dec 2022; the branded EASE zone service may predate the Pingo integration (original EASE start date not independently confirmed)",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),HIRTA On-Demand,IA,"Unverified/missing fields at add time (State expansion research 2026-07): launch_year (Via on-demand app launched ~2022 but not confirmed to a specific year); fleet size (only vehicle type confirmed, not count); ridership/performance numbers",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),LIFTS (Linn County Paratransit),IA,"Unverified/missing fields at add time (State expansion research 2026-07): launch_year; funding (Federal/State/Local plausible but not directly verified); vendor (phone-based, no tech vendor identified); fleet size/vehicle description; ridership/performance figures",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),MET ParaTransit,IA,Unverified/missing fields at add time (State expansion research 2026-07): vendor; launch_year; fleet,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),MuscaBus ParaTransit,IA,Unverified/missing fields at add time (State expansion research 2026-07): vendor; launch_year; funding; fleet; ridership/performance data; exact service-area boundaries,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Peoplerides,IA,Unverified/missing fields at add time (State expansion research 2026-07): hours: Mon-Fri 7:30-4:30 claimed by candidate but not verifiable on operator site; funding: Federal/State/Local is typical for Iowa 5311 regional transit but exact sources not itemized on site; vendor: no technology/dispatch vendor identified (phone/dispatch based); exact advance-notice minimum and full route list not specified,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Region 8 Regional Transit Authority (RTA) On-Demand,IA,Unverified/missing fields at add time (State expansion research 2026-07): fare (a 'Transportation Rates' page exists but exact fares not verified); hours (a search summary cited dispatch hours 5am-5pm but not confirmed on a primary page); exact same-day booking channel/limits,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),River Bend Transit,IA,Unverified/missing fields at add time (State expansion research 2026-07): vendor; fare (specific amounts); fleet,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),SEIBUS (Southeast Iowa Bus),IA,Unverified/missing fields at add time (State expansion research 2026-07): vendor (phone-scheduled service; no technology vendor identified — likely none); launch_year (not found on any source); funding (candidate claimed Federal/State/Local but not independently confirmed); fleet size / vehicle count (only known that buses are wheelchair-lift equipped); precise/full fare table; ridership and performance figures,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),SWITA (Southwest Iowa Transit Agency),IA,"Unverified/missing fields at add time (State expansion research 2026-07): vendor; fare; launch_year; fleet; funding (assumed standard FTA/IowaDOT/local mix, not explicitly confirmed on site)",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Sioux City Transit ADA Paratransit,IA,"Unverified/missing fields at add time (State expansion research 2026-07): vendor (no technology/scheduling vendor identified; likely manual phone dispatch); hours (paratransit-specific service hours not explicitly confirmed; fixed route runs M-F 6a-6p, Sat 7a-6p and ADA hours must match by law but not verified on an official paratransit page); launch_year (not found); fleet (no vehicle count or specs found); fare (conflict between City $3.60 and SRTS $4.00/$7.00 figures); funding (Federal/State/Local inferred from ADA mandate + typical FTA funding, not confirmed on an official funding source)",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Siouxland Regional Transit System (SRTS),IA,"Unverified/missing fields at add time (State expansion research 2026-07): fare (candidate claimed $3.60 each way; could not verify on official site — fares only in per-county PDFs which were unreadable); vendor (technology/scheduling vendor not identified; likely manual phone dispatch); launch_year (not stated); fleet size (only 'ADA-accessible buses' confirmed, no vehicle count); funding breakdown (Federal/State/Local inferred from public-transit status; not itemized on site); exact advance-booking rule (site says '24-hour advance-notice-requested' — unclear whether same-day is ever accommodated)",Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),The Jule MiniBus (ADA Paratransit),IA,Unverified/missing fields at add time (State expansion research 2026-07): vendor (no named technology vendor found; dispatch + online form); funding (official page does not disclose Federal/Local sources); launch_year; fleet size / vehicle description,Follow up to source these fields; row added with 'Not specified' placeholders
Data Gap (new-state research),Trip Connect (Johnson County),IA,"Unverified/missing fields at add time (State expansion research 2026-07): fleet (specific vehicle count/type not published); exact federal/ARPA funding line items (candidate listed ARPA/Federal/ECICOG but sources confirm County, North Liberty, Kirkwood, Iowa DOT, NCMM grant, passenger revenue); precise service-area centroid",Follow up to source these fields; row added with 'Not specified' placeholders
